name,invasive
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,0
158,1
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,1
497,0
498,0
499,1
500,1
501,1
502,1
503,0
504,1
505,1
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,0
529,0
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,1
556,1
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,1
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,1
576,1
577,0
578,0
579,1
580,0
581,1
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,1
613,1
614,1
615,1
616,0
617,1
618,1
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,0
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,0
652,1
653,1
654,0
655,0
656,1
657,0
658,1
659,0
660,1
661,0
662,1
663,0
664,1
665,1
666,0
667,1
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,0
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,0
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,0
727,1
728,0
729,0
730,0
731,0
732,1
733,1
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,1
744,1
745,0
746,1
747,0
748,1
749,1
750,1
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,0
762,1
763,1
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,1
772,0
773,1
774,0
775,0
776,0
777,1
778,0
779,1
780,1
781,0
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,1
803,0
804,0
805,1
806,1
807,0
808,0
809,0
810,1
811,1
812,0
813,1
814,1
815,0
816,0
817,1
818,0
819,1
820,0
821,0
822,0
823,1
824,1
825,0
826,0
827,0
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,1
843,0
844,1
